asset,date,close,sma30,sma50,sma60,sma100,sma120,sma200,ratio30,ratio50,ratio60,ratio100,ratio120,ratio200,drawdown
KOSDAQ,2024-10-18,753.22,753.5763,758.5016,767.0397,800.0663,809.9785,831.0032,99.9527,99.3037,98.1983,94.1447,92.9926,90.6398,-17.7788
KOSDAQ,2024-10-21,759.95,753.3193,757.43,765.9975,799.2086,809.2955,830.4881,100.8802,100.3327,99.2105,95.0878,93.9027,91.5064,-17.0442
KOSDAQ,2024-10-22,738.34,752.2903,756.6102,764.4912,798.1262,808.3998,829.8826,98.1456,97.5853,96.5793,92.5092,91.3335,88.9692,-19.4031
KOSDAQ,2024-10-23,745.19,751.7843,757.6884,763.4117,797.184,807.5644,829.3355,99.1228,98.3505,97.6131,93.4778,92.2762,89.8539,-18.6554
KOSDAQ,2024-10-24,734.59,751.879,757.7228,762.1195,796.05,806.5007,828.7667,97.7006,96.9471,96.3878,92.2794,91.0836,88.6365,-19.8125
KOSDAQ,2024-10-25,727.41,751.95,757.3002,760.6722,794.814,805.452,828.1048,96.7365,96.0531,95.6273,91.5195,90.3108,87.8403,-20.5962
KOSDAQ,2024-10-28,740.48,753.0797,757.2042,759.7253,793.8343,804.4825,827.4743,98.3269,97.7913,97.4668,93.2789,92.0443,89.4868,-19.1695
KOSDAQ,2024-10-29,744.18,754.0703,756.7992,758.8357,792.9562,803.4363,826.8006,98.6884,98.3326,98.0687,93.8488,92.6246,90.0072,-18.7656
KOSDAQ,2024-10-30,738.19,755.1367,756.1086,757.6723,791.9383,802.3468,826.1337,97.7558,97.6302,97.4287,93.2131,92.0039,89.3548,-19.4195
KOSDAQ,2024-10-31,743.06,756.258,755.6726,756.6603,790.9217,801.31,825.5177,98.2548,98.3309,98.2026,93.9486,92.7307,90.0114,-18.8879
KOSDAQ,2024-11-01,729.05,756.192,754.717,755.4253,789.7538,800.1722,824.7713,96.4107,96.5991,96.5085,92.3136,91.1116,88.3942,-20.4172
KOSDAQ,2024-11-04,754.08,756.888,754.072,754.4345,788.7871,799.1957,824.145,99.629,100.0011,99.953,95.5999,94.3549,91.4985,-17.6849
KOSDAQ,2024-11-05,751.81,757.298,753.5588,753.9758,787.6434,798.1906,823.4809,99.2753,99.7679,99.7127,95.4506,94.1893,91.2966,-17.9327
KOSDAQ,2024-11-06,743.31,757.1307,752.6762,754.843,786.4294,797.1336,822.8201,98.1746,98.7556,98.4721,94.5171,93.2479,90.3369,-18.8606
KOSDAQ,2024-11-07,733.52,756.4107,751.7492,754.8538,785.081,796.0449,822.0751,96.9738,97.5751,97.1738,93.4324,92.1456,89.2279,-19.9293
KOSDAQ,2024-11-08,743.38,755.6117,751.1474,754.7678,783.8081,795.1195,821.4516,98.3812,98.9659,98.4912,94.8421,93.4929,90.4959,-18.853
KOSDAQ,2024-11-11,728.84,754.5963,750.259,754.4938,782.3832,794.0086,820.7972,96.5867,97.1451,96.5999,93.1564,91.7925,88.7966,-20.4401
KOSDAQ,2024-11-12,710.52,752.3077,749.1336,753.5953,780.8665,792.6765,820.0757,94.4454,94.8456,94.284,90.9912,89.6356,86.6408,-22.4399
KOSDAQ,2024-11-13,689.65,749.4797,747.6276,752.2108,779.1734,791.2981,819.3587,92.0172,92.2451,91.6831,88.5105,87.1543,84.1695,-24.7181
KOSDAQ,2024-11-14,681.56,746.7357,746.0088,750.8225,777.3995,789.9187,818.5648,91.2719,91.3609,90.7751,87.6718,86.2823,83.2628,-25.6012
